产地,产品,类别,单位,低价,高价,均价,发行时间
鲁辽,油豆,蔬菜,斤,3.0,5.0,4.0,2023-07-02 00:00:00
苏川,毛豆,蔬菜,斤,2.5,2.8,2.65,2023-07-02 00:00:00
粤,花生,蔬菜,斤,5.0,6.5,5.75,2023-07-02 00:00:00
冀,玉米,蔬菜,斤,1.0,1.2,1.1,2023-07-02 00:00:00
冀,玉米,蔬菜,斤,1.0,1.2,1.1,2023-07-02 00:00:00
鲁冀,苦瓜,蔬菜,斤,1.2,1.8,1.5,2023-07-02 00:00:00
冀鲁,丝瓜,蔬菜,斤,2.0,4.0,3.0,2023-07-02 00:00:00
冀蒙晋,西葫芦,蔬菜,斤,0.6,1.3,0.95,2023-07-02 00:00:00
鲁,贝贝南瓜,蔬菜,斤,1.5,1.8,1.65,2023-07-02 00:00:00
鲁冀,金丝南瓜,蔬菜,斤,1.0,1.5,1.25,2023-07-02 00:00:00
冀陕,板栗南瓜,蔬菜,斤,1.6,1.8,1.7,2023-07-02 00:00:00
桂,南北瓜,蔬菜,斤,1.2,1.5,1.35,2023-07-02 00:00:00
冀辽鲁蒙,尖椒,蔬菜,斤,1.2,2.5,1.85,2023-07-02 00:00:00
鲁冀,红尖椒,蔬菜,斤,5.0,6.0,5.5,2023-07-02 00:00:00
鲁云,美人椒,蔬菜,斤,5.0,6.0,5.5,2023-07-02 00:00:00
鲁冀,螺丝椒,蔬菜,斤,2.0,3.5,2.75,2023-07-02 00:00:00
鲁冀辽,柿子椒,蔬菜,斤,1.5,2.5,2.0,2023-07-02 00:00:00
鲁冀,线椒,蔬菜,斤,2.0,3.5,2.75,2023-07-02 00:00:00
鲁冀辽,杭椒,蔬菜,斤,1.5,2.0,1.75,2023-07-02 00:00:00
云粤,小米椒,蔬菜,斤,9.0,11.0,10.0,2023-07-02 00:00:00
nan,牛尾巴鱼,水产,斤,8.0,18.0,13.0,2023-07-02 00:00:00
nan,小公鱼,水产,斤,13.0,15.0,14.0,2023-07-02 00:00:00
网,带鱼,水产,斤,7.0,8.0,7.5,2023-07-02 00:00:00
网,带鱼,水产,斤,13.0,14.0,13.5,2023-07-02 00:00:00
网,带鱼,水产,斤,16.0,18.0,17.0,2023-07-02 00:00:00
吊,带鱼,水产,斤,9.0,10.0,9.5,2023-07-02 00:00:00
吊,带鱼,水产,斤,17.0,19.0,18.0,2023-07-02 00:00:00
吊,带鱼,水产,斤,20.0,21.0,20.5,2023-07-02 00:00:00
国产,黄花鱼,水产,斤,18.0,19.0,18.5,2023-07-02 00:00:00
国产,黄花鱼,水产,斤,20.0,20.0,20.0,2023-07-02 00:00:00
国产,黄花鱼,水产,斤,24.0,26.0,25.0,2023-07-02 00:00:00
国产,平鱼,水产,斤,12.0,13.0,12.5,2023-07-02 00:00:00
国产,平鱼,水产,斤,20.0,22.0,21.0,2023-07-02 00:00:00
国产,平鱼,水产,斤,30.0,32.0,31.0,2023-07-02 00:00:00
国产,平鱼,水产,斤,45.0,50.0,47.5,2023-07-02 00:00:00
nan,鱿鱼,水产,斤,18.0,20.0,19.0,2023-07-02 00:00:00
nan,鱿鱼,水产,斤,23.0,25.0,24.0,2023-07-02 00:00:00
nan,八爪鱼,水产,斤,38.0,40.0,39.0,2023-07-02 00:00:00
nan,海鲈鱼,水产,斤,15.0,16.0,15.5,2023-07-02 00:00:00
nan,墨鱼,水产,斤,24.0,26.0,25.0,2023-07-02 00:00:00
nan,金鲳鱼,水产,斤,25.0,26.0,25.5,2023-07-02 00:00:00
nan,金鲳鱼,水产,斤,27.0,28.0,27.5,2023-07-02 00:00:00
nan,白虾,水产,斤,15.0,15.0,15.0,2023-07-02 00:00:00
nan,白虾,水产,斤,24.0,25.0,24.5,2023-07-02 00:00:00
nan,白虾,水产,斤,22.0,22.0,22.0,2023-07-02 00:00:00
nan,白虾,水产,斤,20.0,21.0,20.5,2023-07-02 00:00:00
nan,白虾（笼装）,水产,斤,25.0,26.0,25.5,2023-07-02 00:00:00
nan,白虾（笼装）,水产,斤,23.0,24.0,23.5,2023-07-02 00:00:00
nan,小海白虾,水产,斤,25.0,33.0,29.0,2023-07-02 00:00:00
nan,小河虾,水产,斤,19.0,21.0,20.0,2023-07-02 00:00:00
nan,小河虾,水产,斤,45.0,48.0,46.5,2023-07-02 00:00:00
nan,小龙虾,水产,斤,18.0,19.0,18.5,2023-07-02 00:00:00
nan,小龙虾,水产,斤,23.0,25.0,24.0,2023-07-02 00:00:00
nan,小青龙虾,水产,斤,180.0,185.0,182.5,2023-07-02 00:00:00
nan,虾仁,水产,斤,27.0,30.0,28.5,2023-07-02 00:00:00
nan,基围虾,水产,斤,60.0,80.0,70.0,2023-07-02 00:00:00
nan,波士顿龙虾,水产,斤,120.0,180.0,150.0,2023-07-02 00:00:00
nan,兰花蟹,水产,斤,100.0,150.0,125.0,2023-07-02 00:00:00
nan,母梭子蟹,水产,斤,110.0,140.0,125.0,2023-07-02 00:00:00
nan,公梭子蟹,水产,斤,110.0,120.0,115.0,2023-07-02 00:00:00
冀,大白菜,蔬菜,斤,0.5,0.6,0.55,2023-07-02 00:00:00
冀,娃娃菜,蔬菜,斤,0.7,0.9,0.8,2023-07-02 00:00:00
冀,小白菜,蔬菜,斤,0.8,1.2,1.0,2023-07-02 00:00:00
冀,圆白菜,蔬菜,斤,0.65,1.1,0.88,2023-07-02 00:00:00
冀鲁,紫甘蓝,蔬菜,斤,1.2,1.3,1.25,2023-07-02 00:00:00
冀鲁,芹菜,蔬菜,斤,1.6,2.0,1.8,2023-07-02 00:00:00
